element,ion,wavelength,rel_intensity
F,I,489.743,723
F,I,254.427,773
F,I,710.19,149
F,I,828.429,449
F,I,614.356,217
F,I,236.986,412
F,I,256.923,99
F,I,526.651,753
F,I,386.315,692
F,I,665.681,344
F,I,508.406,753
F,I,579.213,977
F,I,637.065,594
F,I,628.225,427
F,I,595.9,436
F,I,895.081,373
F,I,254.181,196
F,I,350.277,217
F,I,341.435,70
F,I,403.829,161
F,I,879.449,389
F,I,562.025,537
F,I,707.618,336
F,I,307.366,977
F,I,313.653,293
F,I,890.786,223
F,I,376.323,358
F,I,258.191,697
F,I,316.082,686
F,I,748.802,69
F,I,315.894,661
F,I,373.798,682
F,I,814.048,628
F,I,820.895,776
F,I,440.938,764
F,I,666.49,980
F,I,553.371,950
F,I,591.767,393
F,I,739.807,669
F,I,443.785,696
F,I,524.074,163
F,I,681.814,487
F,I,742.785,400
F,I,469.718,329
F,I,743.945,974
F,I,718.696,837
F,I,224.675,182
F,I,774.365,990
F,I,566.186,921
F,I,630.151,234
F,I,610.685,497
F,I,597.931,849
F,I,479.877,378
F,I,432.017,309
F,I,446.336,297
F,I,322.103,876
F,I,733.347,85
F,I,334.51,103
F,I,636.261,827
F,I,791.369,804
F,I,373.83,148
F,I,671.932,864
F,I,701.541,804
F,I,836.451,303
F,I,570.134,156
F,I,438.079,475
F,I,766.974,939
F,I,372.958,984
F,I,516.177,938
F,I,474.687,807
F,I,813.344,214
F,II,768.43,880
F,II,686.694,694
F,II,678.849,560
F,II,745.633,875
F,II,341.717,142
F,II,457.548,842
F,II,847.07,871
F,II,239.676,347
F,II,784.359,853
F,II,269.919,615
F,II,534.262,166
F,II,506.325,90
F,II,282.298,127
F,II,750.016,913
F,II,666.01,502
F,II,489.326,143
F,II,494.815,929
F,II,508.361,390
F,II,624.715,185
F,II,701.006,989
F,II,378.417,264
F,II,531.705,865
F,II,474.47,89
F,II,326.57,819
F,II,840.299,708
F,II,678.093,278
F,II,871.574,940
F,II,409.483,911
F,II,240.096,954
F,II,466.383,948
F,II,344.302,645
F,II,821.522,458
F,II,671.702,571
F,II,207.299,352
F,II,842.457,740
F,II,607.62,347
F,II,340.208,294
F,II,288.461,516
F,II,896.418,204
F,II,388.111,723
F,II,869.877,935
F,II,313.499,642
F,II,703.566,783
F,II,326.21,643
F,II,525.659,216
F,II,373.047,138
F,II,524.537,302
F,II,831.311,170
F,II,429.405,782
F,II,486.63,321
F,II,812.857,516
F,II,850.012,699
F,II,436.805,958
F,II,659.135,239
F,II,357.853,404
F,II,277.526,801
F,II,785.67,504
F,II,842.18,300
F,II,653.026,463
F,II,892.353,333
F,II,302.942,691
F,II,803.826,591
F,II,629.979,438
F,II,286.277,325
F,II,868.835,269
F,II,719.655,70
F,II,313.957,317
F,II,570.809,394
F,II,527.04,273
F,II,796.745,477
F,II,479.514,941
F,II,794.32,617
F,II,506.355,903
F,II,455.301,278
F,II,394.724,354
F,II,845.584,380
Ne,I,290.22,616
Ne,I,616.411,696
Ne,I,217.894,687
Ne,I,487.119,223
Ne,I,351.163,702
Ne,I,378.168,973
Ne,I,421.141,442
Ne,I,247.872,709
Ne,I,298.857,395
Ne,I,350.015,589
Ne,I,422.761,429
Ne,I,456.712,678
Ne,I,329.383,488
Ne,I,409.422,664
Ne,I,890.898,643
Ne,I,567.375,283
Ne,I,318.054,83
Ne,I,729.929,639
Ne,I,878.227,911
Ne,I,202.532,81
Ne,I,747.596,787
Ne,I,440.221,726
Ne,I,277.55,452
Ne,I,843.567,202
Ne,I,642.452,686
Ne,I,703.69,809
Ne,I,541.862,286
Ne,I,456.247,343
Ne,I,242.136,869
Ne,I,471.97,547
Ne,I,624.768,629
Ne,I,455.16,617
Ne,I,261.361,303
Ne,I,852.244,141
Ne,I,621.074,208
Ne,I,754.101,474
Ne,I,483.099,719
Ne,I,699.598,698
Ne,I,255.693,514
Ne,I,718.688,497
Ne,I,739.705,541
Ne,I,777.389,755
Ne,I,681.492,107
Ne,I,269.497,115
Ne,I,461.894,780
Ne,I,560.165,269
Ne,I,209.098,799
Ne,I,481.257,259
Ne,I,825.558,531
Ne,I,530.315,453
Ne,I,214.069,96
Ne,I,238.72,267
Ne,I,369.807,439
Ne,I,656.876,57
Ne,I,655.473,903
Ne,I,831.304,950
Ne,I,504.001,195
Ne,I,534.54,867
Ne,I,738.194,977
Ne,I,266.992,598
Ne,I,608.994,421
Ne,I,703.368,416
Ne,I,442.802,371
Ne,I,885.605,940
Ne,I,858.923,314
Ne,I,449.868,597
Ne,I,360.49,317
Ne,I,556.57,430
Ne,I,453.144,112
Ne,I,775.081,114
Ne,I,556.444,369
Ne,I,894.606,601
Ne,I,462.577,546
Ne,I,775.601,105
Ne,I,881.322,630
Ne,I,536.181,75
Ne,II,853.948,288
Ne,II,799.929,870
Ne,II,400.237,860
Ne,II,358.753,299
Ne,II,656.647,888
Ne,II,428.376,524
Ne,II,314.084,896
Ne,II,672.403,322
Ne,II,780.069,304
Ne,II,219.98,234
Ne,II,750.679,793
Ne,II,666.611,238
Ne,II,246.944,391
Ne,II,860.899,582
Ne,II,799.541,950
Ne,II,674.985,576
Ne,II,477.205,490
Ne,II,576.247,155
Ne,II,388.061,148
Ne,II,846.94,328
Ne,II,272.985,634
Ne,II,524.149,200
Ne,II,557.115,370
Ne,II,790.811,990
Ne,II,301.837,979
Ne,II,253.416,572
Ne,II,376.341,450
Ne,II,538.79,832
Ne,II,837.893,910
Ne,II,389.127,214
Ne,II,637.834,850
Ne,II,532.063,848
Ne,II,367.117,923
Ne,II,689.468,918
Ne,II,715.377,263
Ne,II,331.707,100
Ne,II,346.38,946
Ne,II,424.211,310
Ne,II,506.802,968
Ne,II,688.061,64
Ne,II,296.353,101
Ne,II,265.468,787
Ne,II,413.143,587
Ne,II,445.426,669
Ne,II,351.613,376
Ne,II,574.68,349
Ne,II,642.837,359
Ne,II,678.376,288
Ne,II,635.92,589
Ne,II,344.173,617
Ne,II,419.242,312
Ne,II,642.15,775
Ne,II,781.991,805
Ne,II,289.232,398
Ne,II,236.428,725
Ne,II,338.634,824
Ne,II,638.146,585
Ne,II,468.059,493
Ne,II,409.946,292
Ne,II,249.438,753
Ne,II,389.344,941
Ne,II,739.181,262
Ne,II,394.936,960
Ne,II,557.544,397
Ne,II,581.944,745
Ne,II,285.453,155
Ne,II,332.989,635
Ne,II,435.724,293
Ne,II,878.514,572
Ne,II,577.588,634
Ne,II,320.12,203
Ne,II,844.34,450
Ne,II,455.707,833
Ne,II,314.021,520
Ne,II,504.75,679
Ne,II,758.464,464
Ne,II,665.537,120
Ne,II,236.635,153
Ne,II,831.616,754
Ne,II,637.283,81
Ne,II,844.962,634
Na,I,776.725,903
Na,I,756.823,132
Na,I,404.784,669
Na,I,865.92,551
Na,I,242.707,618
Na,I,412.637,390
Na,I,850.996,941
Na,I,634.6,168
Na,I,534.837,455
Na,I,870.185,610
Na,I,550.442,716
Na,I,425.773,992
Na,I,579.06,169
Na,I,530.804,784
Na,I,277.086,222
Na,I,674.207,164
Na,I,228.7,671
Na,I,408.494,172
Na,I,265.935,243
Na,I,540.772,76
Na,I,731.62,354
Na,I,668.849,672
Na,I,458.403,421
Na,I,799.927,434
Na,I,586.741,303
Na,I,404.844,532
Na,I,442.291,191
Na,I,513.518,955
Na,I,466.569,395
Na,I,267.03,240
Na,I,238.105,719
Na,I,836.214,650
Na,I,432.771,478
Na,I,747.83,817
Na,I,312.781,179
Na,I,700.573,275
Na,I,822.396,647
Na,I,742.351,199
Na,I,767.421,934
Na,I,842.654,497
Na,I,382.677,296
Na,I,538.957,996
Na,I,872.386,942
Na,I,246.846,800
Na,I,254.176,243
Na,I,265.227,648
Na,I,860.153,189
Na,I,323.369,699
Na,I,268.086,700
Na,I,442.1,776
Na,I,787.114,627
Na,I,876.564,739
Na,I,538.597,774
Na,I,436.604,936
Na,I,623.489,732
Na,I,739.108,839
Na,I,615.838,575
Na,I,540.935,452
Na,I,432.697,836
Na,I,592.146,628
Na,I,737.628,54
Na,I,672.498,586
Na,I,371.034,261
Na,I,743.826,819
Na,I,488.526,973
Na,I,258.96,77
Na,I,717.427,444
Na,I,825.348,639
Na,I,630.867,308
Na,I,254.881,863
Na,I,786.228,68
Na,I,843.612,739
Na,I,742.119,193
Na,I,800.949,989
Na,I,864.83,551
Na,I,555.647,554
Na,I,238.633,688
Na,I,746.953,592
Na,I,708.533,197
Na,I,223.567,826
Na,I,818.651,835
Na,I,313.479,1000
Na,I,463.045,276
Na,I,551.799,807
Na,I,723.996,949
Na,I,664.191,558
Na,I,438.232,885
Na,I,618.818,200
Na,II,593.009,983
Na,II,205.77,948
Na,II,327.29,82
Na,II,589.255,67
Na,II,685.39,838
Na,II,721.911,76
Na,II,636.841,374
Na,II,645.716,948
Na,II,565.656,573
Na,II,826.741,569
Na,II,281.638,634
Na,II,418.657,778
Na,II,786.069,226
Na,II,407.657,420
Na,II,231.179,851
Na,II,284.426,206
Na,II,200.626,110
Na,II,830.596,245
Na,II,225.319,189
Na,II,690.754,854
Na,II,411.887,886
Na,II,899.479,691
Na,II,728.133,1000
Na,II,807.13,360
Na,II,658.136,57
Na,II,463.521,296
Na,II,231.56,794
Na,II,262.721,206
Na,II,223.805,228
Na,II,709.496,87
Na,II,590.928,270
Na,II,812.458,962
Na,II,622.622,230
Na,II,856.632,384
Na,II,432.396,946
Na,II,223.873,924
Na,II,586.559,309
Na,II,422.877,497
Na,II,628.437,105
Na,II,636.489,541
Na,II,777.076,586
Na,II,364.425,511
Na,II,859.115,476
Na,II,362.911,430
Na,II,465.904,437
Na,II,739.53,669
Na,II,728.124,204
Na,II,640.621,67
Na,II,526.652,916
Na,II,827.153,284
Na,II,355.26,546
Na,II,580.322,994
Na,II,284.461,466
Na,II,369.721,725
Na,II,498.264,231
Na,II,670.998,509
Na,II,363.576,847
Na,II,428.095,610
Na,II,749.591,183
Na,II,760.234,351
Na,II,246.82,383
Na,II,572.569,202
Na,II,307.827,902
Na,II,582.475,548
Na,II,685.394,323
Na,II,810.452,987
Na,II,899.312,583
Na,II,314.432,340
Na,II,250.721,972
Na,II,533.343,729
Na,II,349.708,60
Na,II,828.857,63
Na,II,412.374,363
Na,II,314.593,219
Na,II,807.093,73
Na,II,644.497,51
Na,II,546.091,842
Na,II,581.034,532
Na,II,860.578,853
Na,II,784.351,808
Na,II,540.004,630
Na,II,517.716,479
Na,II,206.854,889
Na,II,322.685,558
Mg,I,754.252,968
Mg,I,360.763,671
Mg,I,390.289,816
Mg,I,586.71,545
Mg,I,542.837,595
Mg,I,406.491,376
Mg,I,851.312,869
Mg,I,884.936,242
Mg,I,516.278,424
Mg,I,222.694,856
Mg,I,200.906,822
Mg,I,853.238,582
Mg,I,456.893,600
Mg,I,687.678,420
Mg,I,765.517,976
Mg,I,705.44,457
Mg,I,504.377,400
Mg,I,684.761,60
Mg,I,843.939,392
Mg,I,289.099,769
Mg,I,823.074,271
Mg,I,539.017,671
Mg,I,512.985,877
Mg,I,227.055,899
Mg,I,831.679,297
Mg,I,760.671,886
Mg,I,570.699,653
Mg,I,242.117,299
Mg,I,773.292,174
Mg,I,662.756,810
Mg,I,403.675,349
Mg,I,460.584,684
Mg,I,664.584,241
Mg,I,250.557,466
Mg,I,838.044,71
Mg,I,554.567,847
Mg,I,866.619,87
Mg,I,852.414,402
Mg,I,712.448,629
Mg,I,835.605,951
Mg,I,336.429,614
Mg,I,437.529,956
Mg,I,313.64,437
Mg,I,308.402,376
Mg,I,584.661,463
Mg,I,618.38,992
Mg,I,664.89,281
Mg,I,782.745,167
Mg,I,500.18,588
Mg,I,411.796,120
Mg,I,841.227,139
Mg,I,287.607,431
Mg,I,724.257,385
Mg,I,230.637,83
Mg,I,516.691,437
Mg,I,577.225,412
Mg,I,322.579,551
Mg,I,267.851,603
Mg,I,353.344,834
Mg,I,545.916,840
Mg,I,894.304,701
Mg,I,722.816,532
Mg,I,776.825,508
Mg,I,209.901,525
Mg,I,311.959,183
Mg,I,790.538,558
Mg,I,265.399,307
Mg,I,697.068,576
Mg,I,215.453,472
Mg,I,601.291,228
Mg,I,203.066,563
Mg,I,666.42,635
Mg,I,469.986,686
Mg,I,540.256,736
Mg,I,814.658,653
Mg,II,536.272,843
Mg,II,844.965,909
Mg,II,761.821,475
Mg,II,498.528,228
Mg,II,517.113,779
Mg,II,725.886,246
Mg,II,857.38,970
Mg,II,595.29,458
Mg,II,699.917,119
Mg,II,291.006,761
Mg,II,383.139,962
Mg,II,834.248,277
Mg,II,443.814,252
Mg,II,558.954,228
Mg,II,418.443,490
Mg,II,208.202,674
Mg,II,559.722,750
Mg,II,328.982,351
Mg,II,289.951,284
Mg,II,495.552,117
Mg,II,216.352,958
Mg,II,698.233,446
Mg,II,216.289,821
Mg,II,769.268,702
Mg,II,668.145,113
Mg,II,616.408,624
Mg,II,545.678,372
Mg,II,579.436,500
Mg,II,551.452,744
Mg,II,888.955,484
Mg,II,232.324,739
Mg,II,600.363,968
Mg,II,325.847,644
Mg,II,537.876,201
Mg,II,345.92,981
Mg,II,785.681,474
Mg,II,203.322,766
Mg,II,619.378,159
Mg,II,343.567,221
Mg,II,290.338,898
Mg,II,449.082,544
Mg,II,737.754,527
Mg,II,435.717,271
Mg,II,415.969,476
Mg,II,899.229,591
Mg,II,443.986,971
Mg,II,253.613,998
Mg,II,890.301,74
Mg,II,227.59,247
Mg,II,697.49,632
Mg,II,813.87,246
Mg,II,351.923,844
Mg,II,780.279,857
Mg,II,797.53,545
Mg,II,655.185,142
Mg,II,880.99,618
Mg,II,629.388,268
Mg,II,231.304,387
Mg,II,511.623,272
Mg,II,704.476,746
Mg,II,250.591,127
Mg,II,659.62,301
Mg,II,839.936,875
Mg,II,652.584,659
Mg,II,214.694,453
Mg,II,764.369,226
Mg,II,531.192,561
Mg,II,372.712,682
Mg,II,690.054,985
Mg,II,702.357,809
Mg,II,249.487,796
Mg,II,391.433,945
Mg,II,862.336,566
Mg,II,254.382,147
Mg,II,661.452,252
Mg,II,824.721,269
Mg,II,561.383,122
Mg,II,326.782,100
Mg,II,800.146,826
Al,I,505.337,78
Al,I,894.951,425
Al,I,815.377,261
Al,I,203.169,825
Al,I,406.066,442
Al,I,629.213,486
Al,I,560.914,89
Al,I,270.669,158
Al,I,817.424,154
Al,I,491.067,806
Al,I,653.261,332
Al,I,578.245,326
Al,I,409.872,925
Al,I,695.282,272
Al,I,787.503,473
Al,I,784.984,295
Al,I,397.498,148
Al,I,858.614,381
Al,I,741.99,269
Al,I,839.36,50
Al,I,365.189,956
Al,I,471.029,509
Al,I,573.263,509
Al,I,748.438,268
Al,I,464.689,271
Al,I,468.018,647
Al,I,449.603,646
Al,I,396.66,580
Al,I,801.306,567
Al,I,840.454,615
Al,I,413.444,229
Al,I,894.874,971
Al,I,225.742,899
Al,I,338.44,79
Al,I,893.145,655
Al,I,507.989,693
Al,I,704.675,197
Al,I,384.145,431
Al,I,809.553,369
Al,I,572.011,104
Al,I,682.948,255
Al,I,373.677,995
Al,I,864.394,156
Al,I,756.541,668
Al,I,676.044,209
Al,I,591.235,885
Al,I,628.949,58
Al,I,678.288,71
Al,I,791.982,945
Al,I,674.763,870
Al,I,861.933,904
Al,I,421.974,418
Al,I,363.498,562
Al,I,700.387,458
Al,I,233.741,765
Al,I,745.412,850
Al,I,279.957,938
Al,I,875.627,539
Al,I,297.664,925
Al,I,292.662,718
Al,I,626.508,489
Al,I,755.118,912
Al,I,873.825,333
Al,I,486.026,411
Al,I,840.539,595
Al,I,645.285,484
Al,I,650.095,77
Al,I,874.329,862
Al,I,421.233,764
Al,I,548.441,872
Al,I,481.16,584
Al,I,870.687,608
Al,I,800.282,825
Al,I,208.721,618
Al,I,202.604,654
Al,I,235.992,512
Al,I,212.595,345
Al,I,733.685,563
Al,I,636.675,295
Al,I,611.739,346
Al,I,319.757,388
Al,I,794.651,572
Al,I,723.926,469
Al,I,200.221,518
Al,I,242.965,165
Al,I,849.674,64
Al,I,300.893,86
Al,II,885.405,640
Al,II,803.041,471
Al,II,370.369,117
Al,II,621.376,776
Al,II,719.462,111
Al,II,249.993,617
Al,II,860.318,813
Al,II,799.313,206
Al,II,385.771,241
Al,II,583.892,649
Al,II,758.897,878
Al,II,398.768,336
Al,II,467.402,353
Al,II,839.856,353
Al,II,740.591,543
Al,II,562.449,125
Al,II,857.636,620
Al,II,355.592,898
Al,II,504.868,776
Al,II,694.242,732
Al,II,769.23,817
Al,II,234.527,579
Al,II,394.95,557
Al,II,531.552,408
Al,II,855.662,549
Al,II,522.069,276
Al,II,419.797,295
Al,II,811.616,769
Al,II,781.842,400
Al,II,417.136,442
Al,II,767.693,925
Al,II,411.947,837
Al,II,786.834,619
Al,II,525.723,518
Al,II,597.799,304
Al,II,672.685,517
Al,II,238.711,812
Al,II,303.023,876
Al,II,476.316,297
Al,II,307.414,945
Al,II,878.606,428
Al,II,384.053,685
Al,II,206.56,767
Al,II,839.006,789
Al,II,406.937,863
Al,II,357.332,799
Al,II,441.364,887
Al,II,394.132,461
Al,II,628.69,751
Al,II,624.972,208
Al,II,205.197,429
Al,II,565.937,409
Al,II,282.718,895
Al,II,888.466,715
Al,II,579.854,891
Al,II,862.479,780
Al,II,322.395,167
Al,II,386.653,756
Al,II,202.055,206
Al,II,702.61,745
Al,II,477.358,776
Al,II,276.712,162
Al,II,345.163,439
Al,II,395.015,240
Al,II,300.376,811
Al,II,818.258,233
Al,II,309.267,398
Al,II,241.453,971
Al,II,818.818,839
Al,II,719.564,845
Al,II,265.647,999
Al,II,398.779,836
Al,II,215.964,957
Al,II,876.325,274
Al,II,751.052,700
Al,II,827.266,826
Al,II,705.437,471
Al,II,867.303,489
Al,II,652.105,204
Al,II,724.218,815
Al,II,591.203,283
Al,II,269.273,939
Al,II,482.648,751
Al,II,302.11,199
Al,II,240.048,206
Al,II,582.433,815
Al,II,439.155,824
Al,II,561.046,729
Al,II,408.919,724
Si,I,328.518,571
Si,I,863.042,827
Si,I,752.175,421
Si,I,680.85,332
Si,I,482.196,592
Si,I,729.737,303
Si,I,636.248,687
Si,I,657.782,837
Si,I,604.719,65
Si,I,584.427,457
Si,I,741.026,765
Si,I,679.356,231
Si,I,473.432,859
Si,I,627.127,127
Si,I,459.95,665
Si,I,711.098,388
Si,I,299.916,172
Si,I,273.182,769
Si,I,585.306,725
Si,I,374.184,974
Si,I,732.673,768
Si,I,736.214,549
Si,I,430.33,313
Si,I,374.863,253
Si,I,513.939,996
Si,I,775.273,718
Si,I,513.716,562
Si,I,415.812,398
Si,I,293.202,346
Si,I,719.881,268
Si,I,302.193,276
Si,I,221.839,269
Si,I,379.495,110
Si,I,612.363,947
Si,I,470.787,879
Si,I,359.021,58
Si,I,254.646,231
Si,I,778.764,761
Si,I,312.665,859
Si,I,535.929,750
Si,I,744.324,959
Si,I,712.886,709
Si,I,796.205,956
Si,I,424.211,943
Si,I,788.3,67
Si,I,701.368,696
Si,I,339.831,514
Si,I,854.53,344
Si,I,366.282,76
Si,I,727.334,921
Si,I,771.337,292
Si,I,542.995,414
Si,I,290.687,713
Si,I,646.31,870
Si,I,400.923,914
Si,I,836.308,819
Si,I,221.512,517
Si,I,733.5,329
Si,I,597.376,590
Si,I,802.681,440
Si,I,669.82,92
Si,I,536.186,570
Si,I,427.706,960
Si,I,362.733,458
Si,I,385.076,522
Si,I,811.898,846
Si,I,672.774,468
Si,I,780.471,449
Si,I,426.716,888
Si,I,544.83,157
Si,I,629.37,955
Si,I,331.42,501
Si,I,256.587,308
Si,I,848.85,851
Si,I,703.918,821
Si,I,262.016,290
Si,I,809.912,570
Si,I,263.245,787
Si,I,637.454,976
Si,I,835.156,181
Si,I,556.584,103
Si,I,783.03,875
Si,I,808.015,744
Si,I,393.866,400
Si,I,452.815,239
Si,I,869.877,961
Si,I,724.82,975
Si,I,391.344,319
Si,II,377.053,123
Si,II,438.653,928
Si,II,333.393,453
Si,II,319.914,429
Si,II,773.563,273
Si,II,287.806,908
Si,II,723.394,439
Si,II,856.023,848
Si,II,588.942,189
Si,II,570.899,279
Si,II,507.86,750
Si,II,666.684,773
Si,II,771.334,450
Si,II,279.141,592
Si,II,513.115,798
Si,II,585.611,523
Si,II,687.467,272
Si,II,491.084,659
Si,II,571.991,692
Si,II,397.981,225
Si,II,470.386,724
Si,II,805.452,224
Si,II,860.142,133
Si,II,447.329,797
Si,II,475.603,242
Si,II,224.335,386
Si,II,260.912,430
Si,II,687.154,351
Si,II,526.043,767
Si,II,386.804,476
Si,II,793.09,340
Si,II,695.474,918
Si,II,207.53,581
Si,II,250.787,253
Si,II,872.646,632
Si,II,885.734,293
Si,II,885.515,65
Si,II,602.324,739
Si,II,803.688,95
Si,II,675.182,69
Si,II,613.402,146
Si,II,868.383,809
Si,II,327.667,303
Si,II,704.13,911
Si,II,822.156,293
Si,II,586.719,911
Si,II,796.648,386
Si,II,785.225,99
Si,II,435.935,54
Si,II,586.881,564
Si,II,731.945,890
Si,II,639.883,759
Si,II,873.603,664
Si,II,685.126,623
Si,II,289.012,426
Si,II,241.579,798
Si,II,691.883,79
Si,II,306.401,936
Si,II,509.631,983
Si,II,411.085,528
Si,II,499.761,323
Si,II,820.378,323
Si,II,302.52,193
Si,II,511.381,455
Si,II,740.332,794
Si,II,685.044,910
Si,II,345.712,324
Si,II,797.414,335
Si,II,293.252,747
Si,II,826.87,596
Si,II,381.611,849
Si,II,682.364,303
Si,II,461.829,825
Si,II,469.698,598
Si,II,883.581,843
Si,II,342.586,195
Si,II,455.075,280
Si,II,201.911,444
Si,II,366.297,324
Si,II,253.916,175
Si,II,303.948,233
Si,II,812.022,132
Si,II,659.118,225
P,I,555.088,936
P,I,317.435,94
P,I,637.718,537
P,I,314.831,555
P,I,461.22,610
P,I,760.072,99
P,I,254.996,444
P,I,474.605,894
P,I,261.793,544
P,I,428.049,540
P,I,442.614,131
P,I,675.96,346
P,I,773.921,581
P,I,435.934,736
P,I,857.444,565
P,I,476.506,421
P,I,437.028,144
P,I,624.423,358
P,I,833.833,769
P,I,553.294,119
P,I,797.026,680
P,I,224.226,389
P,I,310.108,60
P,I,333.175,290
P,I,708.15,233
P,I,261.655,279
P,I,741.922,55
P,I,690.976,773
P,I,547.978,426
P,I,237.526,532
P,I,250.212,954
P,I,347.093,438
P,I,765.264,802
P,I,657.229,369
P,I,873.823,641
P,I,516.608,209
P,I,897.617,438
P,I,372.078,583
P,I,228.935,906
P,I,569.866,663
P,I,358.273,570
P,I,871.955,248
P,I,201.859,220
P,I,740.077,720
P,I,689.887,165
P,I,560.088,962
P,I,573.176,222
P,I,559.428,943
P,I,876.548,557
P,I,800.099,589
P,I,286.863,542
P,I,817.492,663
P,I,732.346,348
P,I,850.586,431
P,I,663.02,526
P,I,839.394,333
P,I,665.696,647
P,I,226.132,634
P,I,394.959,946
P,I,722.013,692
P,I,451.755,316
P,I,507.484,706
P,I,490.309,604
P,I,786.408,560
P,I,595.87,452
P,I,506.242,550
P,I,697.059,371
P,I,833.18,941
P,I,874.026,964
P,I,355.542,374
P,I,622.884,475
P,I,670.229,669
P,I,759.163,276
P,I,844.849,593
P,I,211.25,654
P,I,818.506,169
P,I,485.045,998
P,I,411.779,728
P,I,722.179,936
P,I,711.622,101
P,I,648.334,829
P,I,845.942,834
P,I,317.427,914
P,I,695.98,542
P,I,759.152,92
P,I,398.21,784
P,I,695.638,460
P,I,749.734,546
P,I,871.228,881
P,I,383.298,299
P,II,281.82,250
P,II,258.933,400
P,II,298.947,827
P,II,787.667,590
P,II,779.654,597
P,II,378.12,759
P,II,425.454,625
P,II,597.3,430
P,II,587.271,831
P,II,604.112,372
P,II,277.012,534
P,II,365.983,512
P,II,874.236,296
P,II,834.841,953
P,II,813.122,651
P,II,780.475,208
P,II,313.043,123
P,II,512.817,636
P,II,583.575,722
P,II,425.519,371
P,II,620.477,497
P,II,505.349,612
P,II,544.3,363
P,II,528.37,830
P,II,466.615,434
P,II,287.945,65
P,II,610.353,138
P,II,644.844,432
P,II,817.76,462
P,II,656.086,278
P,II,829.602,885
P,II,377.564,65
P,II,718.973,965
P,II,571.371,455
P,II,793.885,267
P,II,775.481,734
P,II,353.139,299
P,II,359.809,273
P,II,602.018,597
P,II,277.66,264
P,II,381.738,151
P,II,861.797,562
P,II,875.139,285
P,II,586.377,530
P,II,804.996,671
P,II,534.654,755
P,II,283.899,82
P,II,302.712,821
P,II,606.203,776
P,II,430.186,632
P,II,449.691,846
P,II,397.881,310
P,II,492.352,177
P,II,848.973,543
P,II,690.316,732
P,II,557.389,395
P,II,410.067,117
P,II,693.744,394
P,II,416.207,990
P,II,768.251,355
P,II,576.723,274
P,II,818.396,242
P,II,779.079,823
P,II,573.296,385
P,II,280.156,146
P,II,400.126,841
P,II,399.151,894
P,II,739.672,449
P,II,256.208,929
P,II,677.763,222
P,II,658.546,99
P,II,456.498,126
P,II,553.106,971
P,II,458.006,992
P,II,715.817,384
P,II,268.511,974
P,II,648.92,226
P,II,778.605,787
S,I,542.114,926
S,I,726.733,453
S,I,435.104,705
S,I,253.213,475
S,I,275.81,214
S,I,342.879,64
S,I,670.051,657
S,I,238.632,220
S,I,428.801,96
S,I,307.372,248
S,I,597.021,973
S,I,302.246,191
S,I,792.588,606
S,I,557.329,119
S,I,231.241,428
S,I,291.44,605
S,I,350.236,570
S,I,222.516,328
S,I,636.992,182
S,I,891.748,163
S,I,491.124,924
S,I,217.872,840
S,I,442.36,716
S,I,540.526,365
S,I,741.259,469
S,I,795.264,197
S,I,596.463,185
S,I,488.276,248
S,I,894.518,366
S,I,540.489,633
S,I,486.93,720
S,I,321.564,494
S,I,717.637,426
S,I,251.094,112
S,I,225.895,892
S,I,475.348,338
S,I,625.606,513
S,I,430.558,357
S,I,344.643,273
S,I,637.997,798
S,I,709.993,789
S,I,266.82,612
S,I,569.921,158
S,I,758.95,413
S,I,274.405,643
S,I,345.137,919
S,I,842.244,463
S,I,386.364,336
S,I,242.955,491
S,I,280.985,699
S,I,732.129,701
S,I,824.021,699
S,I,853.863,533
S,I,479.902,277
S,I,430.595,804
S,I,716.44,918
S,I,481.936,317
S,I,593.04,696
S,I,386.169,604
S,I,635.23,538
S,I,562.887,660
S,I,744.117,310
S,I,580.586,721
S,I,221.065,997
S,I,210.692,666
S,I,521.548,233
S,I,884.282,66
S,I,428.849,476
S,I,246.913,803
S,I,517.898,330
S,I,425.045,231
S,I,856.804,663
S,I,567.529,620
S,I,734.12,809
S,I,372.95,299
S,I,468.275,486
S,I,819.871,995
S,I,753.893,984
S,I,882.048,290
S,I,619.601,370
S,I,463.257,791
S,I,300.394,254
S,I,871.584,221
S,I,523.134,96
S,I,239.339,778
S,I,297.534,69
S,I,678.714,792
S,II,616.15,681
S,II,318.113,664
S,II,662.18,83
S,II,489.856,950
S,II,465.126,665
S,II,503.257,72
S,II,806.071,873
S,II,540.337,264
S,II,660.832,513
S,II,576.213,630
S,II,816.93,832
S,II,750.128,396
S,II,494.311,635
S,II,745.647,580
S,II,786.777,53
S,II,896.554,758
S,II,398.22,200
S,II,763.969,690
S,II,273.031,113
S,II,632.681,645
S,II,345.033,512
S,II,439.943,719
S,II,810.622,494
S,II,248.131,591
S,II,514.314,711
S,II,404.477,496
S,II,434.423,971
S,II,679.28,756
S,II,407.405,965
S,II,685.668,646
S,II,854.401,702
S,II,682.196,552
S,II,876.021,938
S,II,664.207,69
S,II,789.764,923
S,II,453.494,385
S,II,452.528,624
S,II,375.105,637
S,II,829.157,574
S,II,442.754,904
S,II,516.686,456
S,II,429.449,477
S,II,216.048,600
S,II,623.403,254
S,II,535.643,260
S,II,275.125,85
S,II,267.863,66
S,II,494.691,909
S,II,676.571,620
S,II,731.242,433
S,II,652.386,144
S,II,311.775,443
